Country_code;Year_decision;Country;Country_short;Region;Income_group;Year_first_decision;Year_target;Year_latest_target;Target_minimum;Target_maximum;Target_average;Unit;Target_type;RE_technology;Target_consistent;Miscellaneous;Source;Note.changes;added_in_version;change_reason;status;status_changed_in_version
BGD;2009;Bangladesh;Bangladesh;South Asia;Lower middle income;2009;2015;2050;NA;5;5;Percent;Electricity;All technologies;5;;https://www.ren21.net/Portals/0/documents/activities/gsr/REN21_GSR_2010_full_revised%20Sept2010.pdf;;V3;New non-EU-27 observation added in V3;active;V3
BGD;2015;Bangladesh;Bangladesh;South Asia;Lower middle income;2015;2020;2030;NA;10;10;Percent;Final energy;All technologies;10;;https://www.ren21.net/wp-content/uploads/2019/05/REN21_GSR2016_FullReport_en_11.pdf;;V3;New non-EU-27 observation added in V3;active;V3
BGD;2016;Bangladesh;Bangladesh;South Asia;Lower middle income;2009;2050;2050;NA;100;100;Percent;Electricity;All technologies;100;;https://www.ren21.net/wp-content/uploads/2019/05/GSR2017_Full-Report_English.pdf;;V3;New non-EU-27 observation added in V3;active;V3
BGD;2020;Bangladesh;Bangladesh;South Asia;Lower middle income;2015;2030;2030;NA;20;20;Percent;Final energy;All technologies;20;;https://www.ren21.net/wp-content/uploads/2019/05/GSR2021_Full_Report.pdf;;V3;New non-EU-27 observation added in V3;active;V3
BGD;2020;Bangladesh;Bangladesh;South Asia;Lower middle income;2009;2021;2050;NA;10;10;Percent;Electricity;All technologies;10;;https://www.ren21.net/wp-content/uploads/2019/05/GSR2021_Full_Report.pdf;;V3;New non-EU-27 observation added in V3;active;V3
BGD;2021;Bangladesh;Bangladesh;South Asia;Lower middle income;2009;2050;2050;NA;40;40;Percent;Electricity;All technologies;40;;https://www.ren21.net/wp-content/uploads/2019/05/GSR2022_Full_Report.pdf;;V3;New non-EU-27 observation added in V3;active;V3
BGD;2021;Bangladesh;Bangladesh;South Asia;Lower middle income;2009;2030;2050;NA;15;15;Percent;Electricity;All technologies;15;;https://www.ren21.net/wp-content/uploads/2019/05/GSR2022_Full_Report.pdf;;V3;New non-EU-27 observation added in V3;active;V3
BGR;2009;Bulgaria;Bulgaria;Europe & Central Asia;High income;2009;2020;2030;NA;16;16;Percent;Final energy;All technologies;16;;https://www.ren21.net/wp-content/uploads/2019/05/GSR2010_Full-Report_English.pdf;;V1;;active;V1
BGR;2009;Bulgaria;Bulgaria;Europe & Central Asia;High income;2009;2010;2030;NA;11;11;Percent;Electricity;All technologies;11;;https://www.ren21.net/Portals/0/documents/activities/gsr/REN21_GSR_2010_full_revised%20Sept2010.pdf;;V1;;active;V1
BGR;2014;Bulgaria;Bulgaria;Europe & Central Asia;High income;2009;2020;2030;NA;21;21;Percent;Electricity;All technologies;21;;https://www.ren21.net/wp-content/uploads/2019/05/GSR2015_Full-Report_English.pdf;;V1;;active;V1
BGR;2019;Bulgaria;Bulgaria;Europe & Central Asia;High income;2009;2020;2030;NA;17;17;Percent;Electricity;All technologies;17;;https://www.ren21.net/wp-content/uploads/2019/05/gsr_2020_full_report_en.pdf;;V1;;active;V1
BGR;2019;Bulgaria;Bulgaria;Europe & Central Asia;High income;2009;2030;2030;NA;57;57;Percent;Electricity;All technologies;57;;https://ember-energy.org/data/live-eu-necp-tracker/#data-tool;;V1;;active;V1
BGR;2019;Bulgaria;Bulgaria;Europe & Central Asia;High income;2009;2030;2030;NA;27;27;Percent;Final energy;All technologies;27;;https://www.ren21.net/wp-content/uploads/2019/05/gsr_2020_full_report_en.pdf;;V1;;active;V1
